Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.307000e-03,-0.00125,-0.0171875,0.19375,-0.00101125
-1.306000e-03,-0.0015625,-0.028125,0.14375,-0.00094625
-1.305000e-03,0.0184375,0.021875,0.34375,-0.00104125
-1.304000e-03,0.00375,0.0460937,0.220313,-0.00096125
-1.303000e-03,0.01375,-0.028125,0.26875,-0.00114625
-1.302000e-03,-0.00125,-0.0265625,0.167188,-0.00104656
-1.301000e-03,0.00375,-0.0148437,0.217187,-0.00105625
-1.300000e-03,0.0040625,-0.028125,0.16875,-0.00105594
-1.299000e-03,0.0140625,-0.00234375,0.220313,-0.00089625
-1.298000e-03,0.0040625,-0.0789063,0.292188,-0.00102125
-1.297000e-03,0.0034375,-0.015625,0.26875,-0.00094125
-1.296000e-03,0.0034375,0.009375,0.26875,-0.00104156
-1.295000e-03,0.01875,0.0710938,0.221875,-0.00100125
-1.294000e-03,0.01875,0.046875,0.115625,-0.00105656
-1.293000e-03,0.01875,0.0476563,0.120313,-0.00099625
-1.292000e-03,-0.0115625,-0.0289063,0.220313,-0.000931563
-1.291000e-03,0.00875,-0.0015625,0.220313,-0.000906563
-1.290000e-03,0.0290625,-0.053125,0.196875,-0.00084625
-1.289000e-03,0.01875,-0.015625,0.292188,-0.00094625
-1.288000e-03,0.01875,0.0210937,0.192187,-0.00102125
-1.287000e-03,0.0034375,-0.0664062,0.240625,-0.00097625
-1.286000e-03,0.0090625,-0.078125,0.295312,-0.000905625
-1.285000e-03,-0.0065625,0.009375,0.11875,-0.00073625
-1.284000e-03,0.0090625,-0.040625,0.21875,-0.00085625
-1.283000e-03,0.0034375,-0.053125,0.215625,-0.00078625
-1.282000e-03,-0.0159375,-0.0523438,0.195312,-0.000835938
-1.281000e-03,0.01375,0.0328125,0.292188,-0.000951563
-1.280000e-03,-0.0165625,-0.0546875,0.292188,-0.00108656
-1.279000e-03,0.0134375,-0.0171875,0.140625,-0.000986875
-1.278000e-03,-0.00125,0.009375,0.270312,-0.00114094
-1.277000e-03,0.01375,0.021875,0.26875,-0.00122625
-1.276000e-03,-0.026875,-0.053125,0.14375,-0.00095625
-1.275000e-03,0.008125,-0.0414063,0.192187,-0.00117656
