Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.116000e-03,-0.00625,-0.053125,0.16875,-0.00141625
-1.115000e-03,-0.01625,-0.0539062,0.16875,-0.00154625
-1.114000e-03,-0.0165625,-0.028125,0.267188,-0.00143656
-1.113000e-03,-0.01625,-0.00234375,0.24375,-0.00124625
-1.112000e-03,-0.0209375,-0.00234375,0.196875,-0.00125063
-1.111000e-03,-0.0165625,-0.028125,0.16875,-0.00122188
-1.110000e-03,-0.01125,-0.040625,0.24375,-0.00121125
-1.109000e-03,-0.01125,-0.015625,0.317187,-0.00107656
-1.108000e-03,-0.00125,-0.040625,0.245313,-0.00106656
-1.107000e-03,-0.0065625,-0.028125,0.19375,-0.00087625
-1.106000e-03,-0.00125,0.009375,0.267188,-0.00086625
-1.105000e-03,-0.00625,-0.0289063,0.242188,-0.000816563
-1.104000e-03,-0.00125,0.0476563,0.19375,-0.000926563
-1.103000e-03,-0.0159375,0.009375,0.21875,-0.00106094
-1.102000e-03,-0.0065625,-0.0289063,0.290625,-0.00100125
-1.101000e-03,-0.00125,-0.040625,0.267188,-0.00085125
-1.100000e-03,-0.00125,-0.065625,0.21875,-0.00094625
-1.099000e-03,-0.030625,-0.0640625,0.296875,-0.00117563
-1.098000e-03,-0.02625,-0.0164063,0.142188,-0.00114625
-1.097000e-03,-0.0109375,-0.003125,0.267188,-0.00118656
-1.096000e-03,-0.016875,-0.065625,0.265625,-0.00120625
-1.095000e-03,-0.03625,-0.028125,0.29375,-0.00116594
-1.094000e-03,-0.01125,-0.0539062,0.26875,-0.00108125
-1.093000e-03,-0.01625,0.0460937,0.217187,-0.00115656
-1.092000e-03,-0.02625,-0.00390625,0.292188,-0.00096625
-1.091000e-03,-0.00625,-0.0289063,0.19375,-0.00103688
-1.090000e-03,-0.02625,-0.028125,0.26875,-0.00086625
-1.089000e-03,-0.0109375,-0.015625,0.195312,-0.000990625
-1.088000e-03,-0.0165625,0.009375,0.242188,-0.00097625
