Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.05
Vertical Position,0,-1.8,-2.34
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
3.4e-04,-0.68,0.4,0.043
3.4e-04,-0.68,0.4,0.041
3.4e-04,-0.68,0.408,0.043
3.4e-04,-0.72,0.4,0.043
3.4e-04,-0.68,0.4,0.043
3.4e-04,-0.68,0.4,0.043
3.5e-04,-0.68,0.4,0.043
3.5e-04,-0.68,0.408,0.043
3.5e-04,-0.68,0.408,0.043
3.5e-04,-0.64,0.4,0.043
3.5e-04,-0.68,0.408,0.043
3.5e-04,-0.68,0.4,0.045
3.5e-04,-0.64,0.392,0.041
3.5e-04,-0.64,0.4,0.043
3.5e-04,-0.68,0.408,0.041
3.5e-04,-0.64,0.392,0.045
3.6e-04,-0.64,0.4,0.043
3.6e-04,-0.64,0.4,0.041
3.6e-04,-0.68,0.4,0.043
3.6e-04,-0.64,0.392,0.043
3.6e-04,-0.64,0.4,0.045
3.6e-04,-0.64,0.408,0.041
3.6e-04,-0.68,0.408,0.041
3.6e-04,-0.68,0.408,0.043
3.6e-04,-0.64,0.4,0.043
3.6e-04,-0.64,0.4,0.043
3.7e-04,-0.68,0.4,0.043
3.7e-04,-0.64,0.4,0.041
3.7e-04,-0.64,0.408,0.043
3.7e-04,-0.64,0.408,0.041
3.7e-04,-0.64,0.408,0.043
3.7e-04,-0.64,0.4,0.043
3.7e-04,-0.68,0.4,0.043
3.7e-04,-0.68,0.4,0.041
3.7e-04,-0.68,0.408,0.045
3.7e-04,-0.6,0.4,0.043
3.8e-04,-0.64,0.408,0.043
3.8e-04,-0.68,0.4,0.043
3.8e-04,-0.68,0.408,0.041
3.8e-04,-0.64,0.4,0.043
3.8e-04,-0.68,0.408,0.041
3.8e-04,-0.64,0.408,0.043
3.8e-04,-0.68,0.408,0.043
3.8e-04,-0.64,0.408,0.043
3.8e-04,-0.64,0.408,0.043
3.8e-04,-0.68,0.4,0.041
3.9e-04,-0.64,0.408,0.041
3.9e-04,-0.64,0.4,0.043
3.9e-04,-0.68,0.408,0.041
3.9e-04,-0.68,0.408,0.041
3.9e-04,-0.64,0.4,0.041
3.9e-04,-0.6,0.408,0.041
3.9e-04,-0.64,0.4,0.043
3.9e-04,-0.68,0.4,0.043
3.9e-04,-0.64,0.4,0.041
3.9e-04,-0.64,0.416,0.039
4.0e-04,-0.64,0.408,0.041
4.0e-04,-0.64,0.408,0.043
4.0e-04,-0.64,0.4,0.043
4.0e-04,-0.68,0.4,0.041
4.0e-04,-0.64,0.408,0.041
4.0e-04,-0.64,0.416,0.041
4.0e-04,-0.68,0.408,0.045
4.0e-04,-0.68,0.4,0.045
4.0e-04,-0.64,0.408,0.041
4.0e-04,-0.68,0.4,0.041
4.1e-04,-0.68,0.408,0.043
4.1e-04,-0.64,0.416,0.043
4.1e-04,-0.64,0.4,0.041
4.1e-04,-0.68,0.4,0.043
4.1e-04,-0.68,0.4,0.043
4.1e-04,-0.64,0.4,0.041
4.1e-04,-0.64,0.4,0.043
4.1e-04,-0.64,0.408,0.041
4.1e-04,-0.64,0.4,0.045
4.1e-04,-0.68,0.408,0.041
4.2e-04,-0.64,0.4,0.043
4.2e-04,-0.68,0.4,0.043
4.2e-04,-0.68,0.408,0.043
4.2e-04,-0.68,0.408,0.041
4.2e-04,-0.64,0.4,0.041
4.2e-04,-0.64,0.4,0.045
4.2e-04,-0.68,0.408,0.041
4.2e-04,-0.68,0.408,0.041
4.2e-04,-0.64,0.408,0.041
4.2e-04,-0.64,0.4,0.043
4.3e-04,-0.68,0.408,0.043
4.3e-04,-0.68,0.4,0.045
4.3e-04,-0.64,0.4,0.045
4.3e-04,-0.64,0.392,0.041
4.3e-04,-0.64,0.408,0.045
4.3e-04,-0.68,0.4,0.043
4.3e-04,-0.64,0.4,0.043
4.3e-04,-0.64,0.408,0.041
4.3e-04,-0.68,0.408,0.043
4.3e-04,-0.64,0.4,0.045
4.4e-04,-0.64,0.408,0.043
4.4e-04,-0.64,0.408,0.043
4.4e-04,-0.68,0.4,0.043
4.4e-04,-0.64,0.4,0.043
4.4e-04,-0.64,0.4,0.041
4.4e-04,-0.68,0.408,0.039
4.4e-04,-0.64,0.4,0.043
4.4e-04,-0.64,0.392,0.043
4.4e-04,-0.64,0.408,0.043
4.4e-04,-0.68,0.408,0.041
4.5e-04,-0.68,0.4,0.043
4.5e-04,-0.64,0.4,0.043
4.5e-04,-0.68,0.408,0.043
4.5e-04,-0.68,0.408,0.043
4.5e-04,-0.68,0.408,0.043
4.5e-04,-0.68,0.408,0.043
4.5e-04,-0.68,0.408,0.041
4.5e-04,-0.68,0.408,0.043
4.5e-04,-0.64,0.408,0.043
4.5e-04,-0.64,0.408,0.041
4.6e-04,-0.64,0.4,0.045
4.6e-04,-0.68,0.408,0.045
4.6e-04,-0.68,0.4,0.041
4.6e-04,-0.68,0.408,0.043
4.6e-04,-0.64,0.4,0.041
4.6e-04,-0.64,0.4,0.043
4.6e-04,-0.68,0.408,0.043
4.6e-04,-0.64,0.408,0.041
4.6e-04,-0.64,0.408,0.039
4.6e-04,-0.68,0.4,0.045
4.7e-04,-0.64,0.4,0.043
4.7e-04,-0.64,0.408,0.041
4.7e-04,-0.68,0.4,0.043
4.7e-04,-0.64,0.408,0.043
4.7e-04,-0.64,0.408,0.043
4.7e-04,-0.64,0.4,0.043
4.7e-04,-0.68,0.4,0.043
4.7e-04,-0.64,0.408,0.043
4.7e-04,-0.64,0.4,0.043
4.7e-04,-0.64,0.408,0.041
4.8e-04,-0.68,0.408,0.041
4.8e-04,-0.64,0.4,0.041
4.8e-04,-0.64,0.4,0.041
4.8e-04,-0.64,0.4,0.041
4.8e-04,-0.64,0.4,0.041
4.8e-04,-0.64,0.408,0.041
4.8e-04,-0.68,0.408,0.043
4.8e-04,-0.6,0.4,0.041
4.8e-04,-0.68,0.408,0.043
4.8e-04,-0.68,0.392,0.045
4.9e-04,-0.64,0.408,0.041
4.9e-04,-0.6,0.408,0.043
4.9e-04,-0.68,0.4,0.043
4.9e-04,-0.64,0.4,0.043
4.9e-04,-0.64,0.4,0.041
4.9e-04,-0.64,0.416,0.043
4.9e-04,-0.68,0.4,0.041
4.9e-04,-0.64,0.408,0.041
4.9e-04,-0.68,0.392,0.043
4.9e-04,-0.68,0.408,0.043
4.9e-04,-0.64,0.4,0.041
5.0e-04,-0.68,0.408,0.045
5.0e-04,-0.64,0.408,0.045
5.0e-04,-0.68,0.4,0.045
5.0e-04,-0.64,0.4,0.043
5.0e-04,-0.64,0.4,0.041
5.0e-04,-0.68,0.408,0.041
5.0e-04,-0.64,0.4,0.041
5.0e-04,-0.64,0.4,0.043
5.0e-04,-0.64,0.392,0.043
5.1e-04,-0.68,0.4,0.043
5.1e-04,-0.68,0.4,0.039
