Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.318000e-03,0.0134375,-0.00390625,0.242188,-0.00108156
-1.317000e-03,0.018125,-0.0421875,0.165625,-0.00103656
-1.316000e-03,0.03875,-0.0273438,0.0953125,-0.000880938
-1.315000e-03,0.00375,-0.0273438,0.16875,-0.00093625
-1.314000e-03,0.023125,-0.0046875,0.215625,-0.000876563
-1.313000e-03,0.0190625,-0.040625,0.220313,-0.00100125
-1.312000e-03,0.03375,-0.0148437,0.270312,-0.00081125
-1.311000e-03,0.0590625,-0.0398438,0.09375,-0.00095125
-1.310000e-03,0.018125,-0.0046875,0.165625,-0.00106656
-1.309000e-03,0.009375,-0.053125,0.195312,-0.00105594
-1.308000e-03,0.0134375,-0.0414063,0.165625,-0.00119656
-1.307000e-03,0.0284375,0.021875,0.267188,-0.00114625
-1.306000e-03,0.0184375,-0.0414063,0.090625,-0.00102156
-1.305000e-03,0.0240625,-0.028125,0.220313,-0.00109656
-1.304000e-03,0.0090625,0.0101562,0.220313,-0.00094125
-1.303000e-03,0.0134375,-0.078125,0.165625,-0.00077625
-1.302000e-03,0.00375,-0.0398438,0.170312,-0.00081625
-1.301000e-03,0.0234375,-0.0523438,0.09375,-0.000850938
-1.300000e-03,0.0340625,0.0101562,0.192187,-0.000800938
-1.299000e-03,0.0234375,-0.0796875,0.19375,-0.000846563
-1.298000e-03,0.0134375,-0.0414063,0.167188,-0.000946563
-1.297000e-03,0.0040625,-0.040625,0.31875,-0.00098625
-1.296000e-03,0.02375,-0.003125,0.11875,-0.00090125
-1.295000e-03,0.03375,-0.0523438,0.06875,-0.000910938
-1.294000e-03,0.0284375,-0.0164063,0.142188,-0.000971875
-1.293000e-03,0.018125,-0.0664062,0.190625,-0.000856875
-1.292000e-03,0.0134375,-0.0414063,0.167188,-0.00088125
-1.291000e-03,0.0140625,-0.00234375,0.0953125,-0.000890938
-1.290000e-03,0.03375,-0.103906,0.24375,-0.000886563
-1.289000e-03,0.01375,-0.0046875,0.142188,-0.00103125
-1.288000e-03,0.0234375,-0.003125,0.14375,-0.00100156
-1.287000e-03,0.01375,-0.102344,0.120313,-0.00085125
-1.286000e-03,0.0284375,-0.0414063,0.142188,-0.000866563
-1.285000e-03,0.01875,-0.0273438,0.192187,-0.000746563
-1.284000e-03,0.00875,-0.0289063,0.26875,-0.00078625
-1.283000e-03,0.0240625,-0.0648438,0.221875,-0.00078625
-1.282000e-03,0.008125,-0.0171875,0.164062,-0.000916563
-1.281000e-03,0.02875,-0.065625,0.11875,-0.000890938
-1.280000e-03,0.00875,-0.053125,0.195312,-0.00076125
-1.279000e-03,0.0090625,-0.040625,0.14375,-0.000615938
-1.278000e-03,0.0234375,-0.00546875,0.240625,-0.000561875
-1.277000e-03,0.0140625,-0.065625,0.145312,-0.000505938
-1.276000e-03,0.023125,-0.0046875,0.192187,-0.000741563
-1.275000e-03,0.0134375,-0.0546875,0.167188,-0.00075125
-1.274000e-03,0.00375,-0.0664062,0.24375,-0.00069625
-1.273000e-03,-0.00125,-0.0523438,0.220313,-0.000805938
-1.272000e-03,0.0040625,-0.0523438,0.0703125,-0.000605938
-1.271000e-03,0.0034375,-0.00546875,0.190625,-0.00081625
-1.270000e-03,0.0284375,-0.090625,0.317187,-0.000966563
-1.269000e-03,0.01375,-0.065625,0.170312,-0.000825938
-1.268000e-03,0.0140625,-0.0273438,0.167188,-0.000766563
-1.267000e-03,0.03375,-0.0664062,0.142188,-0.00109188
-1.266000e-03,0.02375,-0.0164063,0.242188,-0.000911563
-1.265000e-03,0.0334375,-0.053125,0.140625,-0.00113656
-1.264000e-03,0.0190625,0.0109375,0.24375,-0.00111125
